Date,AAPL
2021-10-21,145.92420959472656
2021-10-22,145.15301513671875
2021-10-25,145.10421752929688
2021-10-26,145.76806640625
2021-10-27,145.30921936035156
2021-10-28,148.9407196044922
2021-10-29,146.2366180419922
2021-11-01,145.4165802001953
2021-11-02,146.45140075683594
2021-11-03,147.88638305664062
2021-11-04,147.3690185546875
2021-11-05,147.8968963623047
2021-11-08,147.07571411132812
2021-11-09,147.43740844726562
2021-11-10,144.61207580566406
2021-11-11,144.56320190429688
2021-11-12,146.6357879638672
2021-11-15,146.6455535888672
2021-11-16,147.6231689453125
2021-11-17,150.05751037597656
2021-11-18,154.33958435058594
2021-11-19,156.9596710205078
2021-11-22,157.41915893554688
2021-11-23,157.80039978027344
2021-11-24,158.3185577392578
2021-11-26,153.30328369140625
2021-11-29,156.65655517578125
2021-11-30,161.60340881347656
2021-12-01,161.08522033691406
2021-12-02,160.09783935546875
2021-12-03,158.22080993652344
2021-12-06,161.6229705810547
2021-12-07,167.35194396972656
2021-12-08,171.16468811035156
2021-12-09,170.65634155273438
2021-12-10,175.43695068359375
2021-12-13,171.80992126464844
2021-12-14,170.4314727783203
2021-12-15,175.2903289794922
2021-12-16,168.40777587890625
2021-12-17,167.3127899169922
2021-12-20,165.95391845703125
2021-12-21,169.1214141845703
2021-12-22,171.71214294433594
2021-12-23,172.33786010742188
2021-12-27,176.29727172851562
2021-12-28,175.28053283691406
2021-12-29,175.36854553222656
2021-12-30,174.21495056152344
2021-12-31,173.5990447998047
2022-01-03,177.93971252441406
2022-01-04,175.681396484375
2022-01-05,171.00827026367188
2022-01-06,168.15357971191406
2022-01-07,168.3197479248047
2022-01-10,168.33934020996094
2022-01-11,171.16468811035156
2022-01-12,171.60462951660156
2022-01-13,168.33934020996094
2022-01-14,169.1996307373047
2022-01-18,166.00277709960938
2022-01-19,162.51263427734375
2022-01-20,160.83106994628906
2022-01-21,158.7779998779297
2022-01-24,158.00572204589844
2022-01-25,156.2068634033203
2022-01-26,156.11886596679688
2022-01-27,155.6593780517578
2022-01-28,166.52090454101562
2022-01-31,170.87139892578125
2022-02-01,170.70518493652344
2022-02-02,171.90768432617188
2022-02-03,169.033447265625
2022-02-04,168.7495880126953
2022-02-07,168.0350341796875
2022-02-08,171.1380615234375
2022-02-09,172.55743408203125
2022-02-10,168.4852752685547
2022-02-11,165.07879638671875
2022-02-14,165.313720703125
2022-02-15,169.14112854003906
2022-02-16,168.90621948242188
2022-02-17,165.313720703125
2022-02-18,163.76707458496094
2022-02-22,160.84999084472656
2022-02-23,156.68975830078125
2022-02-24,159.3033905029297
2022-02-25,161.3688201904297
2022-02-28,161.63311767578125
2022-03-01,159.7536163330078
2022-03-02,163.04266357421875
2022-03-03,162.71966552734375
2022-03-04,159.72427368164062
2022-03-07,155.93601989746094
2022-03-08,154.1152801513672
2022-03-09,159.50892639160156
2022-03-10,155.1724853515625
2022-03-11,151.4624786376953
2022-03-14,147.43931579589844
2022-03-15,151.8148956298828
2022-03-16,156.21987915039062
2022-03-17,157.22811889648438
2022-03-18,160.5171661376953
2022-03-21,161.8876190185547
2022-03-22,165.2550048828125
2022-03-23,166.61561584472656
2022-03-24,170.39410400390625
2022-03-25,171.0303955078125
2022-03-28,171.89178466796875
2022-03-29,175.18084716796875
2022-03-30,174.0159454345703
2022-03-31,170.92269897460938
2022-04-01,170.62904357910156
2022-04-04,174.6718292236328
2022-04-05,171.36322021484375
2022-04-06,168.20140075683594
2022-04-07,168.50486755371094
2022-04-08,166.49815368652344
2022-04-11,162.24981689453125
2022-04-12,164.11949157714844
2022-04-13,166.80160522460938
2022-04-14,161.79949951171875
2022-04-18,161.5841522216797
2022-04-19,163.86495971679688
2022-04-20,163.69854736328125
2022-04-21,162.90565490722656
2022-04-22,158.37339782714844
