Date,QCOM
2021-11-17,165.52728271484375
2021-11-18,168.03451538085938
2021-11-19,166.8440399169922
2021-11-22,163.59732055664062
2021-11-23,163.1824493408203
2021-11-24,162.97503662109375
2021-11-26,158.4927978515625
2021-11-29,165.70767211914062
2021-11-30,162.83975219726562
2021-12-01,158.9923553466797
2021-12-02,160.259765625
2021-12-03,159.7889862060547
2021-12-06,158.8294219970703
2021-12-07,166.31600952148438
2021-12-08,165.32923889160156
2021-12-09,164.9943084716797
2021-12-10,166.4608612060547
2021-12-13,165.95387268066406
2021-12-14,164.7407989501953
2021-12-15,171.34925842285156
2021-12-16,161.2736053466797
2021-12-17,160.051513671875
2021-12-20,159.93385314941406
2021-12-21,162.5681610107422
2021-12-22,164.19766235351562
2021-12-23,165.42880249023438
2021-12-27,168.67874145507812
2021-12-28,167.311767578125
2021-12-29,168.56105041503906
2021-12-30,165.41978454589844
2021-12-31,165.54652404785156
2022-01-03,168.57009887695312
2022-01-04,169.49346923828125
2022-01-05,168.8326416015625
2022-01-06,168.33470153808594
2022-01-07,163.31956481933594
2022-01-10,162.65870666503906
2022-01-11,167.8368377685547
2022-01-12,168.76022338867188
2022-01-13,166.46987915039062
2022-01-14,170.8151397705078
2022-01-18,161.91636657714844
2022-01-19,156.13169860839844
2022-01-20,150.72727966308594
2022-01-21,149.3059539794922
2022-01-24,153.95909118652344
2022-01-25,149.7767333984375
2022-01-26,151.17990112304688
2022-01-27,145.9293212890625
2022-01-28,151.00787353515625
2022-01-31,159.1100311279297
2022-02-01,160.35023498535156
2022-02-02,170.37155151367188
2022-02-03,162.1336669921875
2022-02-04,162.4685821533203
2022-02-07,158.50350952148438
2022-02-08,161.67196655273438
2022-02-09,166.5242462158203
2022-02-10,157.58016967773438
2022-02-11,149.04345703125
2022-02-14,149.48704528808594
2022-02-15,156.61148071289062
2022-02-16,156.24940490722656
2022-02-17,150.9988555908203
2022-02-18,151.75924682617188
2022-02-22,150.17503356933594
2022-02-23,146.3095245361328
2022-02-24,152.06704711914062
2022-02-25,154.73760986328125
2022-02-28,155.69715881347656
2022-03-01,148.18344116210938
2022-03-02,153.8559112548828
2022-03-03,150.3106231689453
2022-03-04,147.50167846679688
2022-03-07,136.44769287109375
2022-03-08,137.04763793945312
2022-03-09,142.82008361816406
2022-03-10,140.63836669921875
2022-03-11,138.4839630126953
2022-03-14,128.4390106201172
2022-03-15,131.09341430664062
2022-03-16,136.76583862304688
2022-03-17,138.92935180664062
2022-03-18,139.98385620117188
2022-03-21,141.4383544921875
2022-03-22,143.2746124267578
2022-03-23,138.9657440185547
2022-03-24,144.0472869873047
2022-03-25,143.6018829345703
2022-03-28,144.03819274902344
2022-03-29,146.419921875
2022-03-30,138.83843994140625
2022-03-31,138.92030334472656
2022-04-01,133.6205596923828
2022-04-04,139.82025146484375
2022-04-05,132.22970581054688
2022-04-06,126.61181640625
2022-04-07,126.5572738647461
2022-04-08,124.25740051269531
2022-04-11,123.04834747314453
2022-04-12,123.71196746826172
2022-04-13,127.72087097167969
2022-04-14,124.45738220214844
2022-04-18,126.6481704711914
2022-04-19,128.22080993652344
2022-04-20,127.57540893554688
2022-04-21,123.73013305664062
2022-04-22,120.73031616210938
