Date,MSFT
2022-02-08,293.3804931640625
2022-02-09,299.78643798828125
2022-02-10,291.2805480957031
2022-02-11,284.2099914550781
2022-02-14,284.1714172363281
2022-02-15,289.4406433105469
2022-02-16,289.1028747558594
2022-02-17,280.6372985839844
2022-02-18,277.9344787597656
2022-02-22,277.7318420410156
2022-02-23,270.5403747558594
2022-02-24,284.36322021484375
2022-02-25,286.9888916015625
2022-02-28,288.4175109863281
2022-03-01,284.7108459472656
2022-03-02,289.7688903808594
2022-03-03,285.6471252441406
2022-03-04,279.7975158691406
2022-03-07,269.2276306152344
2022-03-08,266.2738952636719
2022-03-09,278.48468017578125
2022-03-10,275.67572021484375
2022-03-11,270.3473205566406
2022-03-14,266.84332275390625
2022-03-15,277.1815185546875
2022-03-16,284.1702575683594
2022-03-17,284.9714660644531
2022-03-18,290.00048828125
2022-03-21,288.77459716796875
2022-03-22,293.5044860839844
2022-03-23,289.0931701660156
2022-03-24,293.54315185546875
2022-03-25,293.1377258300781
2022-03-28,299.9140625
2022-03-29,304.4604797363281
2022-03-30,302.96435546875
2022-03-31,297.60693359375
2022-04-01,298.67852783203125
2022-04-04,304.0357971191406
2022-04-05,300.0877685546875
2022-04-06,289.1028747558594
2022-04-07,290.907958984375
2022-04-08,286.6606750488281
2022-04-11,275.357177734375
2022-04-12,272.26824951171875
2022-04-13,277.6352233886719
2022-04-14,270.1156311035156
2022-04-18,270.7816467285156
2022-04-19,275.3958435058594
2022-04-20,276.4189758300781
2022-04-21,271.0616455078125
2022-04-22,264.5170593261719
