Date,GOOGL
2023-11-08,130.6812286376953
2023-11-09,129.0952911376953
2023-11-10,131.4246368408203
2023-11-13,130.92901611328125
2023-11-14,132.44557189941406
2023-11-15,133.43679809570312
2023-11-16,135.7264862060547
2023-11-17,134.1207275390625
2023-11-20,135.0524444580078
2023-11-21,135.76612854003906
2023-11-22,137.27276611328125
2023-11-24,135.4886016845703
2023-11-27,135.2110595703125
2023-11-28,135.99411010742188
2023-11-29,133.80355834960938
2023-11-30,131.36514282226562
2023-12-01,130.70103454589844
2023-12-04,128.13380432128906
2023-12-05,129.8386993408203
2023-12-06,128.87721252441406
2023-12-07,135.7264862060547
2023-12-08,133.80355834960938
2023-12-11,132.1184539794922
2023-12-12,131.35523986816406
2023-12-13,131.40480041503906
2023-12-14,130.78033447265625
2023-12-15,131.43453979492188
2023-12-18,134.60643005371094
2023-12-19,135.44894409179688
2023-12-20,137.1240692138672
2023-12-21,139.18582153320312
2023-12-22,140.24642944335938
2023-12-26,140.27615356445312
2023-12-27,139.13624572753906
2023-12-28,138.9974822998047
2023-12-29,138.46221923828125
2024-01-02,136.95558166503906
2024-01-03,137.69900512695312
2024-01-04,135.19122314453125
2024-01-05,134.53701782226562
2024-01-08,137.61972045898438
2024-01-09,139.7111358642578
2024-01-10,141.0294647216797
2024-01-11,140.8312225341797
2024-01-12,141.3961944580078
2024-01-16,141.2376251220703
2024-01-17,140.22657775878906
2024-01-18,142.2189178466797
2024-01-19,145.0934295654297
2024-01-22,144.70684814453125
2024-01-23,145.7476043701172
2024-01-24,147.3930206298828
2024-01-25,150.53518676757812
2024-01-26,150.85235595703125
2024-01-29,152.1607666015625
2024-01-30,150.12875366210938
2024-01-31,138.86863708496094
2024-02-01,139.9193115234375
2024-02-02,141.12860107421875
2024-02-05,142.4171600341797
2024-02-06,142.8334503173828
2024-02-07,144.26080322265625
2024-02-08,144.62757873535156
2024-02-09,147.69039916992188
2024-02-12,146.2333221435547
2024-02-13,143.8643035888672
2024-02-14,144.6573028564453
2024-02-15,141.51515197753906
2024-02-16,139.28492736816406
2024-02-20,139.87966918945312
2024-02-21,141.2970733642578
2024-02-22,142.82357788085938
2024-02-23,142.69471740722656
2024-02-26,136.36087036132812
2024-02-27,137.6593475341797
2024-02-28,135.18130493164062
2024-02-29,137.2430419921875
2024-03-01,135.9346466064453
2024-03-04,132.17794799804688
2024-03-05,131.50393676757812
2024-03-06,130.24508666992188
2024-03-07,133.19891357421875
2024-03-08,134.21986389160156
2024-03-11,136.4599609375
2024-03-12,137.2826690673828
2024-03-13,138.56130981445312
2024-03-14,141.84225463867188
2024-03-15,139.93911743164062
2024-03-18,146.3820037841797
2024-03-19,145.73768615722656
2024-03-20,147.4326934814453
2024-03-21,146.30271911621094
2024-03-22,149.44483947753906
2024-03-25,148.7509765625
2024-03-26,149.34568786621094
2024-03-27,149.54396057128906
2024-03-28,149.60342407226562
2024-04-01,154.12335205078125
2024-04-02,153.20152282714844
2024-04-03,153.55836486816406
2024-04-04,149.2069549560547
2024-04-05,151.15966796875
2024-04-08,153.48899841308594
2024-04-09,155.22361755371094
2024-04-10,154.76763916015625
2024-04-11,158.00892639160156
2024-04-12,156.3436737060547
2024-04-15,153.49887084960938
2024-04-16,153.04293823242188
2024-04-17,154.10353088378906
2024-04-18,154.63877868652344
2024-04-19,152.73565673828125
