Date,SPY
2022-03-17,415.01116943359375
2022-03-18,419.5566711425781
2022-03-21,419.43408203125
2022-03-22,424.34197998046875
2022-03-23,418.8771667480469
2022-03-24,425.1914367675781
2022-03-25,427.2679443359375
2022-03-28,430.3070983886719
2022-03-29,435.6303405761719
2022-03-30,432.94036865234375
2022-03-31,426.2768859863281
2022-04-01,427.48504638671875
2022-04-04,431.1470947265625
2022-04-05,425.7010803222656
2022-04-06,421.4443664550781
2022-04-07,423.56805419921875
2022-04-08,422.4354248046875
2022-04-11,415.215087890625
2022-04-12,413.6766052246094
2022-04-13,418.4147033691406
2022-04-14,413.2047119140625
2022-04-18,413.3745422363281
2022-04-19,420.0474853515625
2022-04-20,419.7360534667969
2022-04-21,413.4595031738281
2022-04-22,402.114501953125
2022-04-25,404.4458312988281
2022-04-26,392.73272705078125
2022-04-27,393.8370361328125
2022-04-28,403.7851257324219
2022-04-29,388.86297607421875
2022-05-02,391.20367431640625
2022-05-03,392.99700927734375
2022-05-04,404.9649353027344
2022-05-05,390.5713195800781
2022-05-06,388.239990234375
2022-05-09,375.8096618652344
2022-05-10,376.67791748046875
2022-05-11,370.6939697265625
2022-05-12,370.3070068359375
2022-05-13,379.1602783203125
2022-05-16,377.6217956542969
2022-05-17,385.3896484375
2022-05-18,369.85400390625
2022-05-19,367.5887756347656
2022-05-20,367.7492370605469
2022-05-23,374.6298522949219
2022-05-24,371.7699890136719
2022-05-25,375.0545654296875
2022-05-26,382.5486755371094
2022-05-27,391.93994140625
2022-05-31,389.7406921386719
2022-06-01,386.58831787109375
2022-06-02,393.95025634765625
2022-06-03,387.4849853515625
2022-06-06,388.66473388671875
2022-06-07,392.3929443359375
2022-06-08,388.1268005371094
2022-06-09,378.8960266113281
2022-06-10,367.9096374511719
2022-06-13,353.94085693359375
2022-06-14,352.87432861328125
2022-06-15,357.9049377441406
2022-06-16,346.0597839355469
2022-06-17,346.80572509765625
2022-06-21,355.5361022949219
2022-06-22,354.8915710449219
2022-06-23,358.3703308105469
2022-06-24,369.76434326171875
2022-06-27,368.3519592285156
2022-06-28,360.825439453125
2022-06-29,360.5316162109375
2022-06-30,357.6025390625
2022-07-01,361.3846740722656
2022-07-05,362.0672302246094
2022-07-06,363.2900695800781
2022-07-07,368.7311096191406
2022-07-08,368.4277648925781
2022-07-11,364.2191162109375
2022-07-12,360.9960632324219
2022-07-13,359.1002197265625
2022-07-14,358.2281799316406
2022-07-15,365.0721130371094
2022-07-18,362.0577392578125
2022-07-19,371.84033203125
2022-07-20,374.2100830078125
2022-07-21,378.020751953125
2022-07-22,374.513427734375
2022-07-25,374.96844482421875
2022-07-26,370.5321960449219
2022-07-27,380.15350341796875
2022-07-28,384.921630859375
2022-07-29,390.53326416015625
